cty,county_name,statename,state_id,csa,csa_name,w2_or_sc_nz_30_q1_f,w2_or_sc_nz_30_q1_m,w2_or_sc_nz_30_q2_f,w2_or_sc_nz_30_q2_m,w2_or_sc_nz_30_q3_f,w2_or_sc_nz_30_q3_m,w2_or_sc_nz_30_q4_f,w2_or_sc_nz_30_q4_m,w2_or_sc_nz_30_q5_f,w2_or_sc_nz_30_q5_m,w2_pos_30_q1_f,w2_pos_30_q1_m,w2_pos_30_q2_f,w2_pos_30_q2_m,w2_pos_30_q3_f,w2_pos_30_q3_m,w2_pos_30_q4_f,w2_pos_30_q4_m,w2_pos_30_q5_f,w2_pos_30_q5_m,w2_pos_30_var_q1_f,w2_pos_30_var_q1_m,w2_pos_30_var_q2_f,w2_pos_30_var_q2_m,w2_pos_30_var_q3_f,w2_pos_30_var_q3_m,w2_pos_30_var_q4_f,w2_pos_30_var_q4_m,w2_pos_30_var_q5_f,w2_pos_30_var_q5_m,w2_or_sc_nz_30_q1_f_sp,w2_or_sc_nz_30_q1_m_sp,w2_or_sc_nz_30_q2_f_sp,w2_or_sc_nz_30_q2_m_sp,w2_or_sc_nz_30_q3_f_sp,w2_or_sc_nz_30_q3_m_sp,w2_or_sc_nz_30_q4_f_sp,w2_or_sc_nz_30_q4_m_sp,w2_or_sc_nz_30_q5_f_sp,w2_or_sc_nz_30_q5_m_sp,w2_pos_30_q1_f_sp,w2_pos_30_q1_m_sp,w2_pos_30_q2_f_sp,w2_pos_30_q2_m_sp,w2_pos_30_q3_f_sp,w2_pos_30_q3_m_sp,w2_pos_30_q4_f_sp,w2_pos_30_q4_m_sp,w2_pos_30_q5_f_sp,w2_pos_30_q5_m_sp,w2_pos_30_var_q1_f_sp,w2_pos_30_var_q1_m_sp,w2_pos_30_var_q2_f_sp,w2_pos_30_var_q2_m_sp,w2_pos_30_var_q3_f_sp,w2_pos_30_var_q3_m_sp,w2_pos_30_var_q4_f_sp,w2_pos_30_var_q4_m_sp,w2_pos_30_var_q5_f_sp,w2_pos_30_var_q5_m_sp,w2_or_sc_nz_30_q1_f_tp,w2_or_sc_nz_30_q1_m_tp,w2_or_sc_nz_30_q2_f_tp,w2_or_sc_nz_30_q2_m_tp,w2_or_sc_nz_30_q3_f_tp,w2_or_sc_nz_30_q3_m_tp,w2_or_sc_nz_30_q4_f_tp,w2_or_sc_nz_30_q4_m_tp,w2_or_sc_nz_30_q5_f_tp,w2_or_sc_nz_30_q5_m_tp,w2_pos_30_q1_f_tp,w2_pos_30_q1_m_tp,w2_pos_30_q2_f_tp,w2_pos_30_q2_m_tp,w2_pos_30_q3_f_tp,w2_pos_30_q3_m_tp,w2_pos_30_q4_f_tp,w2_pos_30_q4_m_tp,w2_pos_30_q5_f_tp,w2_pos_30_q5_m_tp,w2_pos_30_var_q1_f_tp,w2_pos_30_var_q1_m_tp,w2_pos_30_var_q2_f_tp,w2_pos_30_var_q2_m_tp,w2_pos_30_var_q3_f_tp,w2_pos_30_var_q3_m_tp,w2_pos_30_var_q4_f_tp,w2_pos_30_var_q4_m_tp,w2_pos_30_var_q5_f_tp,w2_pos_30_var_q5_m_tp
1001,Autauga,Alabama,1,,,0.785714286,0.715517241,0.772727273,0.862068966,0.787037037,0.830508475,0.826530612,0.94488189,0.814285714,0.940476191,0.724489796,0.655172414,0.709090909,0.818965517,0.768518519,0.79661017,0.734693878,0.905511811,0.714285714,0.916666667,0.002036779,0.001947599,0.001875282,0.001278112,0.001647202,0.001373071,0.001988967,0.000673702,0.002915452,0.000909392,0.842105263,0.707865169,0.843137255,0.849056604,0.80952381,0.8,,,,,0.763157895,0.651685393,0.764705882,0.830188679,0.761904762,0.8,,,,,0.002378262,0.002550467,0.003528055,0.002659914,0.008638376,0.008,,,,,0.590909091,0.740740741,0.711864407,0.873015873,0.781609195,0.836734694,0.829787234,0.942622951,0.808823529,0.938271605,0.590909091,0.666666667,0.661016949,0.80952381,0.770114943,0.795918367,0.755319149,0.909836066,0.720588235,0.913580247,0.010987979,0.008230452,0.003797857,0.00244754,0.002034919,0.001657473,0.001966086,0.000672413,0.002960895,0.000974708
1003,Baldwin,Alabama,1,380,"Mobile-Daphne-Fairhope, AL",0.837681159,0.778067885,0.809116809,0.827089337,0.816666667,0.879765396,0.807121662,0.875362319,0.876923077,0.879003559,0.762318841,0.733681462,0.743589744,0.775216138,0.777777778,0.835777126,0.768545994,0.84057971,0.815384615,0.846975089,0.000525185,0.000510164,0.000543202,0.000502179,0.00048011,0.000402504,0.000527843,0.000388422,0.000578971,0.000461239,0.845493562,0.756972112,0.827586207,0.748344371,0.765625,0.833333333,0.777777778,0.913043478,0.909090909,,0.772532189,0.721115538,0.779310345,0.701986755,0.734375,0.814814815,0.740740741,0.826086957,0.818181818,,0.00075419,0.000801227,0.001186108,0.001385439,0.003047943,0.00279429,0.007112737,0.006246404,0.013523666,,0.821428571,0.818181818,0.796116505,0.887755102,0.827702703,0.888501742,0.809677419,0.872670808,0.875502008,0.886029412,0.741071429,0.757575758,0.718446602,0.831632653,0.787162162,0.839721254,0.770967742,0.841614907,0.815261044,0.852941177,0.001713255,0.001391324,0.000981947,0.000714387,0.000566006,0.000468953,0.000569602,0.000413973,0.000604861,0.000461149
1005,Barbour,Alabama,1,,,0.758064516,0.73943662,0.794117647,0.745283019,0.859375,0.907407407,0.909090909,0.888888889,0.828571429,0.888888889,0.709677419,0.725352113,0.735294118,0.726415094,0.8125,0.87037037,0.863636364,0.888888889,0.742857143,0.861111111,0.001661576,0.001402933,0.001908203,0.00187487,0.002380371,0.002089367,0.002676559,0.002194787,0.005457726,0.003322188,0.747572816,0.723577236,0.807017544,0.703125,,,,,,,0.708737864,0.723577236,0.771929825,0.6875,,,,,,,0.00200416,0.001626124,0.00308867,0.003356934,,,,,,,0.80952381,0.842105263,0.777777778,0.80952381,0.875,0.933333333,0.904761905,0.948717949,0.823529412,0.885714286,0.714285714,0.736842105,0.688888889,0.785714286,0.821428571,0.888888889,0.857142857,0.948717949,0.735294118,0.857142857,0.009718173,0.01020557,0.004762689,0.004008746,0.002619351,0.002194787,0.002915452,0.001247492,0.005724608,0.003498542
1007,Bibb,Alabama,1,142,"Birmingham-Hoover-Talladega, AL",0.652173913,0.75,0.736111111,0.841269841,0.813559322,0.904761905,0.830188679,0.890909091,0.818181818,0.9375,0.576086957,0.725,0.708333333,0.761904762,0.762711864,0.880952381,0.735849057,0.890909091,0.772727273,0.875,0.002654465,0.002492188,0.002869406,0.002879459,0.0030675,0.002497031,0.003667457,0.001767092,0.00798272,0.006835938,0.7,0.728813559,0.806451613,0.837837838,0.846153846,0.7,,,,,0.65,0.694915254,0.774193548,0.72972973,0.846153846,0.7,,,,,0.003791667,0.003593357,0.005639287,0.005330385,0.010013655,0.021,,,,,0.5625,0.80952381,0.682926829,0.846153846,0.804347826,0.96875,0.82,0.888888889,0.85,0.933333333,0.4375,0.80952381,0.658536585,0.807692308,0.739130435,0.9375,0.72,0.888888889,0.8,0.866666667,0.00769043,0.007342619,0.005484541,0.005974056,0.004191666,0.001831055,0.004032,0.00182899,0.008,0.007703704
1009,Blount,Alabama,1,142,"Birmingham-Hoover-Talladega, AL",0.816666667,0.793103448,0.843373494,0.806818182,0.826086957,0.861111111,0.797619048,0.939759036,0.96969697,0.885714286,0.683333333,0.689655172,0.771084337,0.772727273,0.739130435,0.805555556,0.761904762,0.915662651,0.939393939,0.828571429,0.003606482,0.003690188,0.002126666,0.00199568,0.001676666,0.001450332,0.002159594,0.000930416,0.001725241,0.004058309,0.8,0.863636364,0.789473684,0.684210526,0.909090909,0.818181818,,,,,0.8,0.772727273,0.736842105,0.684210526,0.818181818,0.818181818,,,,,0.0064,0.00798272,0.01020557,0.01137192,0.013523666,0.013523666,,,,,0.828571429,0.75,0.859375,0.84057971,0.817307692,0.865979381,0.797619048,0.93902439,0.96969697,0.911764706,0.6,0.638888889,0.78125,0.797101449,0.730769231,0.804123711,0.761904762,0.914634146,0.939393939,0.852941177,0.006857143,0.006408608,0.002670288,0.002343924,0.001891784,0.001623802,0.002159594,0.000952177,0.001725241,0.003689192
1011,Bullock,Alabama,1,,,0.836956522,0.75862069,0.924528302,0.785714286,0.866666667,0.8,,,,,0.804347826,0.735632184,0.924528302,0.767857143,0.866666667,0.733333333,,,,,0.00171057,0.002235373,0.001316523,0.003183081,0.007703704,0.013037037,,,,,0.86746988,0.756410256,0.911111111,0.807692308,,,,,,,0.831325301,0.730769231,0.911111111,0.788461539,,,,,,,0.00168944,0.002522379,0.001799726,0.003207499,,,,,,,,,,,,0.909090909,,,,,,,,,,0.818181818,,,,,,,,,,0.013523666,,,,
1013,Butler,Alabama,1,,,0.775757576,0.766467066,0.816326531,0.685393258,0.882352941,0.960784314,0.96875,0.95,0.925925926,0.875,0.745454546,0.736526946,0.775510204,0.674157303,0.823529412,0.941176471,0.96875,0.9,0.925925926,0.833333333,0.001150013,0.001162006,0.001776471,0.002468194,0.002849583,0.001085555,0.000946045,0.00225,0.002540263,0.005787037,0.781021898,0.786764706,0.818181818,0.672413793,0.9,,,,,,0.744525547,0.764705882,0.763636364,0.655172414,0.9,,,,,,0.001388374,0.001323021,0.003281743,0.003895199,0.009,,,,,,0.75,0.677419355,0.813953488,0.709677419,0.878048781,0.953488372,0.966666667,0.95,0.916666667,0.869565217,0.75,0.612903226,0.790697674,0.709677419,0.804878049,0.953488372,0.966666667,0.9,0.916666667,0.826086957,0.006696429,0.007653318,0.003848718,0.006646303,0.003830473,0.001031356,0.001074074,0.00225,0.00318287,0.006246404
1015,Calhoun,Alabama,1,,,0.749408984,0.677835052,0.764102564,0.803370787,0.795396419,0.875949367,0.861486487,0.905594406,0.852760736,0.897435897,0.685579196,0.654639175,0.730769231,0.786516854,0.734015345,0.850632911,0.810810811,0.884615385,0.803680982,0.846153846,0.000509599,0.000582698,0.000504476,0.000471652,0.000499327,0.000321662,0.000518232,0.000356892,0.000967962,0.000834471,0.758842444,0.651079137,0.78021978,0.801169591,0.847457627,0.833333333,0.75,0.727272727,,,0.704180064,0.625899281,0.758241758,0.795321637,0.813559322,0.833333333,0.666666667,0.727272727,,,0.000669809,0.000842264,0.001007204,0.00095196,0.002570857,0.002572017,0.018518519,0.018031554,,,0.723214286,0.745454546,0.75,0.805405405,0.786144578,0.882697947,0.866197183,0.912727273,0.852564103,0.894736842,0.633928571,0.727272727,0.706730769,0.778378378,0.719879518,0.853372434,0.816901409,0.890909091,0.801282051,0.842105263,0.002071992,0.001803156,0.000996454,0.000932462,0.000607389,0.000366944,0.000526667,0.000353418,0.0010207,0.000874763
1017,Chambers,Alabama,1,194,"Columbus-Auburn-Opelika, GA-AL",0.822368421,0.777777778,0.824858757,0.82208589,0.91025641,0.886597938,0.875,0.9125,0.72,0.911764706,0.782894737,0.742690059,0.768361582,0.791411043,0.833333333,0.845360825,0.8125,0.8625,0.68,0.911764706,0.001118227,0.001117553,0.001005548,0.001012758,0.001780627,0.00134769,0.002380371,0.001482422,0.008704,0.002366172,0.825757576,0.777027027,0.848920863,0.818181818,0.944444444,0.814814815,,,,,0.795454546,0.75,0.791366907,0.785123967,0.833333333,0.777777778,,,,,0.001232626,0.001266892,0.001187808,0.001394251,0.007716049,0.006401463,,,,,0.8,0.782608696,0.736842105,0.833333333,0.9,0.914285714,0.862068966,0.91025641,0.72,0.909090909,0.7,0.695652174,0.684210526,0.80952381,0.833333333,0.871428571,0.793103448,0.858974359,0.68,0.909090909,0.0105,0.009205228,0.00568596,0.00367131,0.002314815,0.001600583,0.002829144,0.001553044,0.008704,0.002504383
1019,Cherokee,Alabama,1,,,0.631578947,0.78,0.767857143,0.827586207,0.847826087,0.85,0.8,0.941176471,0.846153846,0.928571429,0.561403509,0.74,0.75,0.75862069,0.782608696,0.775,0.733333333,0.911764706,0.769230769,0.928571429,0.004319818,0.003848,0.003348214,0.003157161,0.003698529,0.004359375,0.006518519,0.002366172,0.013654985,0.00473761,0.625,0.791666667,0.739130435,0.739130435,,,,,,,0.5625,0.75,0.695652174,0.739130435,,,,,,,0.00769043,0.0078125,0.009205228,0.008383332,,,,,,,0.64,0.769230769,0.787878788,0.885714286,0.85,0.857142857,0.8,0.9375,0.846153846,0.928571429,0.56,0.730769231,0.787878788,0.771428571,0.775,0.771428571,0.733333333,0.90625,0.769230769,0.928571429,0.009856,0.007567137,0.005064418,0.005037901,0.004359375,0.005037901,0.006518519,0.002655029,0.013654985,0.00473761
