cz,czname,stateabbrv,state_id,w2_or_sc_nz_30_q1_f,w2_or_sc_nz_30_q1_m,w2_or_sc_nz_30_q2_f,w2_or_sc_nz_30_q2_m,w2_or_sc_nz_30_q3_f,w2_or_sc_nz_30_q3_m,w2_or_sc_nz_30_q4_f,w2_or_sc_nz_30_q4_m,w2_or_sc_nz_30_q5_f,w2_or_sc_nz_30_q5_m,w2_pos_30_q1_f,w2_pos_30_q1_m,w2_pos_30_q2_f,w2_pos_30_q2_m,w2_pos_30_q3_f,w2_pos_30_q3_m,w2_pos_30_q4_f,w2_pos_30_q4_m,w2_pos_30_q5_f,w2_pos_30_q5_m,w2_pos_30_var_q1_f,w2_pos_30_var_q1_m,w2_pos_30_var_q2_f,w2_pos_30_var_q2_m,w2_pos_30_var_q3_f,w2_pos_30_var_q3_m,w2_pos_30_var_q4_f,w2_pos_30_var_q4_m,w2_pos_30_var_q5_f,w2_pos_30_var_q5_m,w2_or_sc_nz_30_q1_f_sp,w2_or_sc_nz_30_q1_m_sp,w2_or_sc_nz_30_q2_f_sp,w2_or_sc_nz_30_q2_m_sp,w2_or_sc_nz_30_q3_f_sp,w2_or_sc_nz_30_q3_m_sp,w2_or_sc_nz_30_q4_f_sp,w2_or_sc_nz_30_q4_m_sp,w2_or_sc_nz_30_q5_f_sp,w2_or_sc_nz_30_q5_m_sp,w2_pos_30_q1_f_sp,w2_pos_30_q1_m_sp,w2_pos_30_q2_f_sp,w2_pos_30_q2_m_sp,w2_pos_30_q3_f_sp,w2_pos_30_q3_m_sp,w2_pos_30_q4_f_sp,w2_pos_30_q4_m_sp,w2_pos_30_q5_f_sp,w2_pos_30_q5_m_sp,w2_pos_30_var_q1_f_sp,w2_pos_30_var_q1_m_sp,w2_pos_30_var_q2_f_sp,w2_pos_30_var_q2_m_sp,w2_pos_30_var_q3_f_sp,w2_pos_30_var_q3_m_sp,w2_pos_30_var_q4_f_sp,w2_pos_30_var_q4_m_sp,w2_pos_30_var_q5_f_sp,w2_pos_30_var_q5_m_sp,w2_or_sc_nz_30_q1_f_tp,w2_or_sc_nz_30_q1_m_tp,w2_or_sc_nz_30_q2_f_tp,w2_or_sc_nz_30_q2_m_tp,w2_or_sc_nz_30_q3_f_tp,w2_or_sc_nz_30_q3_m_tp,w2_or_sc_nz_30_q4_f_tp,w2_or_sc_nz_30_q4_m_tp,w2_or_sc_nz_30_q5_f_tp,w2_or_sc_nz_30_q5_m_tp,w2_pos_30_q1_f_tp,w2_pos_30_q1_m_tp,w2_pos_30_q2_f_tp,w2_pos_30_q2_m_tp,w2_pos_30_q3_f_tp,w2_pos_30_q3_m_tp,w2_pos_30_q4_f_tp,w2_pos_30_q4_m_tp,w2_pos_30_q5_f_tp,w2_pos_30_q5_m_tp,w2_pos_30_var_q1_f_tp,w2_pos_30_var_q1_m_tp,w2_pos_30_var_q2_f_tp,w2_pos_30_var_q2_m_tp,w2_pos_30_var_q3_f_tp,w2_pos_30_var_q3_m_tp,w2_pos_30_var_q4_f_tp,w2_pos_30_var_q4_m_tp,w2_pos_30_var_q5_f_tp,w2_pos_30_var_q5_m_tp,pop2000,Bj_p25_czkir26_f_cc2,Bj_p25_czkir26_m_cc2,cs_race_bla,cs_race_theil_2000,cs00_seg_inc_pov25,frac_traveltime_lt15,hhinc00,gini,inc_share_1perc,taxrate,eitc_exposure,tax_st_diff_top20,ccd_pup_tch_ratio,score_r,dropout_r,num_inst_pc,tuition,gradrate_r,cs_elf_ind_man,d_tradeusch_pw_1990,frac_worked1416,mig_inflow,mig_outflow,cs_born_foreign,scap_ski90pcm,rel_tot,crime_violent,cs_fam_wkidsinglemom,cs_divorced,cs_married,cs_race_bla_st,cs00_seg_inc_pov25_st,cs_fam_wkidsinglemom_st,e_rank_b_kir26_f_p25,e_rank_b_kir26_m_p25
100,Johnson City,TN,Tennessee,0.726174497,0.71589404,0.758640227,0.816231884,0.820160367,0.859900717,0.862601626,0.892512973,0.877647059,0.898368883,0.651006711,0.659602649,0.706515581,0.779130435,0.773195876,0.822945394,0.813821138,0.862861379,0.832941177,0.856963614,0.000152481,0.000148693,0.00011748,9.97601E-05,0.000100438,8.03675E-05,0.000123184,8.7718E-05,0.000163706,0.000153798,0.72659176,0.718434343,0.779727096,0.808510638,0.801932367,0.815165877,0.862745098,0.896551724,0.888888889,0.90625,0.639200999,0.670454546,0.713450292,0.771760155,0.753623188,0.772511848,0.843137255,0.879310345,0.888888889,0.875,0.000287919,0.000278971,0.000398517,0.000340709,0.000896982,0.000832878,0.002593271,0.001829718,0.003657979,0.003417969,0.725689405,0.713091922,0.75,0.819536424,0.822612086,0.865792759,0.86259542,0.892331526,0.87727825,0.898039216,0.664731495,0.647632312,0.703674121,0.782284768,0.77582846,0.829588015,0.812553011,0.862122386,0.831105711,0.85620915,0.000323459,0.000317834,0.000166547,0.000140989,0.000113008,8.8247E-05,0.000129186,9.20739E-05,0.000170558,0.000160935,576081,0.014459563,-0.40184316,0.02084082,0.090383738,0.030153191,0.32525778,31559.768,0.46803999,13.459,0.020392356,0,0,,2.728379,-0.015265618,0.013886936,4816.8154,-0.002431161,0.23739718,5.293786339,0.37529001,0.005639832,0.004697256,0.011783706,-0.2978583,0.51440334,0.001409524,0.18980315,0.11017292,0.6008929,-0.99355674,-1.6282003,-0.79777414,35.933529,42.548344
200,Morristown,TN,Tennessee,0.73354232,0.705701079,0.777443609,0.797241379,0.828438949,0.851632048,0.883668904,0.918552036,0.840375587,0.885167464,0.663009404,0.654853621,0.721804511,0.757241379,0.768160742,0.820474777,0.825503356,0.886877828,0.788732394,0.851674641,0.000350201,0.000348259,0.000301959,0.000253554,0.000275255,0.00021854,0.000322254,0.000226981,0.000782317,0.000604426,0.753501401,0.686930091,0.792079208,0.74122807,0.907692308,0.913580247,0.9375,0.818181818,,,0.694677871,0.6443769,0.742574257,0.688596491,0.830769231,0.864197531,0.875,0.818181818,,,0.000594119,0.000696521,0.000946325,0.000940488,0.002162949,0.001448891,0.006835938,0.013523666,,,0.708185053,0.725,0.771058315,0.822937626,0.819587629,0.84317032,0.881670534,0.921113689,0.843902439,0.882352941,0.622775801,0.665625,0.712742981,0.788732394,0.761168385,0.81450253,0.823665893,0.888631091,0.790243902,0.848039216,0.000836036,0.000695526,0.000442204,0.000335279,0.000312356,0.000254786,0.000336985,0.000229619,0.000808578,0.000631709,227816,-0.15606722,-0.35696417,0.01977912,0.093153007,0.027858246,0.27642781,29958.934,0.43459001,10.631001,0.023447147,0,0,,-3.4002736,-0.023520689,0.008779015,4762.2251,-0.10118274,0.23775563,3.030479166,0.47773001,0.016206061,0.014235172,0.023055315,-0.767354773,0.54389507,0.001843593,0.18510601,0.11595841,0.61335909,-1.0041276,-1.7057055,-0.9266994,36.643135,42.534821
301,Middlesborough,TN,Tennessee,0.723004695,0.71484375,0.730434783,0.754901961,0.89375,0.804347826,0.853333333,0.948051948,0.902439024,0.935483871,0.643192488,0.66015625,0.669565217,0.700980392,0.84375,0.755434783,0.826666667,0.935064935,0.853658537,0.870967742,0.001077446,0.000876367,0.000961946,0.001027485,0.000823975,0.001004093,0.001910519,0.000788552,0.003046967,0.003625256,0.701298701,0.685714286,0.695652174,0.705882353,,0.8125,,,,,0.597402597,0.657142857,0.695652174,0.647058824,,0.8125,,,,,0.003123542,0.002145773,0.004602614,0.004477916,,0.009521484,,,,,0.735294118,0.735099338,0.739130435,0.77124183,0.894039735,0.803571429,0.842857143,0.94520548,0.902439024,0.935483871,0.669117647,0.662251656,0.663043478,0.718954248,0.841059603,0.75,0.814285714,0.931506849,0.853658537,0.870967742,0.001627935,0.001481287,0.001214222,0.001320647,0.000885287,0.001116072,0.00216035,0.000873998,0.003046967,0.003625256,66708,-1.2517349,0.17157903,0.014645919,0.064250089,0.014683077,0.35853583,22328.484,0.44095001,10.691,0.01537993,0,0,15.08493694,-9.3150616,-0.004629058,0.044972118,11840.353,0.11129849,0.2335314,2.062596352,0.28931999,0.008050009,0.011602806,0.007078037,-1.270251272,0.66780597,0.00085447,0.21100271,0.11345144,0.59028035,-1.0552368,-2.1506596,-0.21589737,35.337341,42.436954
302,Knoxville,TN,Tennessee,0.739318885,0.706207744,0.770196507,0.785238624,0.80602537,0.842892768,0.86593786,0.884980458,0.876635514,0.91817614,0.650154799,0.649661955,0.704694323,0.748057714,0.747885835,0.803491272,0.82278481,0.8453378,0.830529595,0.871330419,0.000140838,0.00013989,0.000113592,0.000104588,9.96578E-05,7.87496E-05,8.38953E-05,7.29993E-05,8.76948E-05,7.00273E-05,0.75203252,0.695833333,0.776671408,0.764621969,0.820433437,0.791666667,0.871287129,0.821705426,0.721311475,0.836065574,0.678861789,0.646875,0.722617354,0.736091298,0.764705882,0.753205128,0.831683168,0.759689923,0.704918033,0.770491803,0.000221553,0.000237946,0.000285123,0.00027712,0.000557061,0.000595792,0.001386003,0.001415203,0.003409977,0.002898921,0.719492869,0.72113943,0.766164748,0.798365123,0.803059273,0.852333136,0.865607819,0.889891697,0.882772021,0.921428571,0.605388273,0.653673163,0.693534101,0.755676658,0.7444232,0.812758417,0.822235797,0.85198556,0.835492228,0.875324675,0.000378595,0.000339407,0.000188259,0.000167693,0.00012126,8.98891E-05,8.92878E-05,7.58762E-05,8.90188E-05,7.08645E-05,727600,-0.61154783,-0.22407815,0.05636476,0.20999432,0.0842674,0.26856959,35884.293,0.50831997,15.080001,0.018870382,0,0,,-6.0318308,-0.011071121,0.010995052,3480.4353,-0.023826126,0.1455054,1.078308498,0.42875001,0.016302914,0.013554151,0.01996747,-0.221884616,0.60195297,0.001344145,0.20560226,0.11427779,0.57514995,-0.6398595,0.19935387,-0.36412668,37.179638,41.77216
401,Winston-Salem,NC,North Carolina,0.77672956,0.670466321,0.801903114,0.757033248,0.853441296,0.817878028,0.873771731,0.864085042,0.880833333,0.901665345,0.708595388,0.626943005,0.743944637,0.724637681,0.804048583,0.766917293,0.827664399,0.824601367,0.825,0.863600317,0.000216444,0.000242368,0.000164785,0.000170109,0.000127574,0.000149336,0.000107813,0.000109821,0.000120313,9.34138E-05,0.77414966,0.65890411,0.825471698,0.729102167,0.870445344,0.782258065,0.833333333,0.826086957,0.794871795,0.886363636,0.708843537,0.621917808,0.76572327,0.705882353,0.801619433,0.721774194,0.807692308,0.77173913,0.743589744,0.840909091,0.000280795,0.000322104,0.000282062,0.000321382,0.000643829,0.000809743,0.001991352,0.001914759,0.004888821,0.003040477,0.785388128,0.706382979,0.773076923,0.791271347,0.849190283,0.827186512,0.876305221,0.866938776,0.88372093,0.90221857,0.707762557,0.642553192,0.717307692,0.747628084,0.80465587,0.778714436,0.828915663,0.828571429,0.827734712,0.864420707,0.000944451,0.000977356,0.000389956,0.000358027,0.000159094,0.000181579,0.000113907,0.000115952,0.000122817,9.63004E-05,493180,-0.34417742,-0.57886028,0.17353097,0.26238799,0.061080586,0.29181409,38891.746,0.46553001,11.917,0.017904816,0,1,15.38528091,-2.2970347,0.022966137,0.014193601,9715.3281,0.051553398,0.21519853,1.016084779,0.37628999,0.022101464,0.018619976,0.052948195,-0.017795959,0.48793748,0.002657865,0.22047086,0.09235052,0.58589721,0.52671623,-0.58371514,0.043980662,39.826893,40.760811
402,Martinsville,VA,Virginia,0.750788644,0.752688172,0.797385621,0.789915966,0.878980892,0.856140351,0.898734177,0.928571429,0.826086957,0.93,0.728706625,0.716845878,0.767973856,0.773109244,0.840764331,0.824561404,0.898734177,0.907142857,0.826086957,0.91,0.000623638,0.000727519,0.00058232,0.000491348,0.000426368,0.000507579,0.000576019,0.000601676,0.001561601,0.000819,0.754464286,0.75,0.763358779,0.753424658,0.828571429,0.789473684,,,,,0.741071429,0.718085106,0.717557252,0.739726027,0.828571429,0.736842105,,,,,0.000856628,0.001076803,0.00154709,0.001318708,0.004058309,0.005102785,,,,,0.741935484,0.758241758,0.822857143,0.815165877,0.88530466,0.866396761,0.894736842,0.927536232,0.824175824,0.947368421,0.698924731,0.714285714,0.805714286,0.796208531,0.842293907,0.83805668,0.894736842,0.905797101,0.824175824,0.92631579,0.002262677,0.002242655,0.000894507,0.000769007,0.000476111,0.000549464,0.000619624,0.000618324,0.001592418,0.000718472,92753,-0.3440454,-0.9483332,0.22380947,0.13652563,0.015375408,0.31302428,31264.813,0.44448,10.679999,0.015188307,0,0,,4.2273808,,0.010781323,1113,-0.11550245,0.39450666,3.276671414,0.32874,0.006813796,0.010069755,0.024992118,-0.902815133,0.45443273,0.001897513,0.24088506,0.095639959,0.57952172,1.0273186,-2.1272781,0.60430145,39.453243,42.117554
500,Greensboro,NC,North Carolina,0.751830757,0.659090909,0.797433229,0.745839112,0.835748792,0.835070737,0.871917263,0.88129771,0.887142857,0.900518623,0.694467046,0.61952862,0.752341311,0.705963939,0.785209959,0.799329859,0.826173429,0.853816794,0.831904762,0.861386139,8.63233E-05,9.92058E-05,6.46285E-05,7.1976E-05,6.26738E-05,5.97177E-05,5.71245E-05,4.76388E-05,6.65901E-05,5.62942E-05,0.751043841,0.645246946,0.80616479,0.709202454,0.852727273,0.810763889,0.866197183,0.85,0.861111111,0.845070423,0.69519833,0.612851832,0.767042087,0.682208589,0.803636364,0.789930556,0.802816901,0.825,0.819444444,0.788732394,0.000110594,0.000126003,0.000105921,0.000133006,0.000286918,0.000288091,0.001114802,0.000902344,0.002054934,0.002346952,0.754612546,0.711967546,0.785117057,0.793460925,0.831387202,0.841706161,0.872259697,0.883333333,0.888067061,0.902439024,0.691881919,0.645030426,0.731605351,0.736842105,0.780476413,0.801895735,0.82757167,0.855691057,0.83234714,0.863902439,0.000393323,0.000464434,0.00016418,0.00015463,8.00247E-05,7.52886E-05,6.01589E-05,5.01967E-05,6.88094E-05,5.73537E-05,1055133,-0.31363496,-0.37407428,0.21755931,0.22006495,0.057588931,0.30493262,36581.84,0.52358001,18.228001,0.017254686,0,1,16.67800657,-3.7159934,0.015528088,0.014216217,4528.4893,-0.017433494,0.26134688,2.050500145,0.35349,0.016507872,0.015370574,0.050223336,-0.513180379,0.43396899,0.003460857,0.23660554,0.095547177,0.56019479,0.96508837,-0.7016359,0.48683879,39.022835,40.387402
601,North Wilkesboro,NC,North Carolina,0.70212766,0.693548387,0.819148936,0.819875776,0.836805556,0.836666667,0.893491124,0.872727273,0.902912621,0.943925234,0.634042553,0.596774194,0.744680851,0.711180124,0.78125,0.773333333,0.840236686,0.836363636,0.854368932,0.887850467,0.000987373,0.000970301,0.000674224,0.000637897,0.000593397,0.000584296,0.000794314,0.000829452,0.001207987,0.00093058,0.675,0.683333333,0.831325301,0.861702128,0.833333333,0.75,,,,,0.591666667,0.616666667,0.722891566,0.755319149,0.791666667,0.75,,,,,0.00201331,0.001969907,0.002413486,0.001966086,0.006872106,0.006696429,,,,,0.730434783,0.703125,0.814070352,0.802631579,0.837121212,0.845588235,0.890909091,0.87037037,0.900990099,0.942857143,0.67826087,0.578125,0.753768844,0.692982456,0.78030303,0.775735294,0.842424242,0.833333333,0.851485149,0.885714286,0.001897592,0.001905441,0.00093267,0.000933148,0.000649357,0.000639596,0.000804519,0.000857339,0.001252061,0.000964043,90016,0.016563116,-1.1963307,0.031927656,0.11409641,0.008601978,0.28933561,31544.059,0.44602999,12.645,0.013595361,0,1,16.17796976,6.6981893,0.021033235,0.011109136,880,-0.123175,0.27537945,2.572852698,0.33693999,0.011975649,0.011886776,0.027426854,-0.193093086,0.56138909,0.002657238,0.16520125,0.087308198,0.63226253,-0.88316965,-2.3560314,-1.4730372,39.485954,41.109264
602,Galax,VA,Virginia,0.740740741,0.68707483,0.797029703,0.834170854,0.876190476,0.893023256,0.894117647,0.92,0.804347826,0.888888889,0.659259259,0.646258503,0.732673267,0.763819096,0.804761905,0.841860465,0.835294118,0.91,0.739130435,0.888888889,0.001663974,0.00155516,0.00096962,0.00090653,0.000748191,0.000619216,0.001618563,0.000819,0.004191666,0.002743484,0.761904762,0.654761905,0.755102041,0.767441861,1,1,,,,,0.698412698,0.619047619,0.693877551,0.697674419,0.833333333,0.933333333,,,,,0.003343371,0.002807472,0.004334929,0.004905229,0.011574074,0.004148148,,,,,0.722222222,0.73015873,0.810457516,0.852564103,0.868686869,0.885,0.886075949,0.919191919,0.822222222,0.885714286,0.625,0.682539683,0.745098039,0.782051282,0.803030303,0.835,0.835443038,0.909090909,0.755555556,0.885714286,0.003255208,0.003439353,0.001241353,0.00109261,0.000798852,0.000688875,0.001740228,0.000834794,0.004104252,0.002892128,64676,-1.6298921,-1.3112227,0.028959738,0.13119748,0.004165713,0.325102,30683.008,0.35620999,8.7059994,0.014034694,0,0,12.32629781,4.8995543,,,,,0.32108366,4.302583116,0.39142001,0.005535284,0.005798132,0.022852449,-0.801190365,0.43017504,0.001329705,0.16680239,0.089455761,0.62223482,-0.91272002,-2.5058539,-1.4290897,39.950447,43.59119
700,Spartanburg,SC,South Carolina,0.754478398,0.67515275,0.794358508,0.742386831,0.813592233,0.859437751,0.87033195,0.887700535,0.87751938,0.896980462,0.710221286,0.644602851,0.737943585,0.712757202,0.77184466,0.820281125,0.829875519,0.864171123,0.812403101,0.852575489,0.000216867,0.000233289,0.000175963,0.000168506,0.000170971,0.000148012,0.000146455,0.000125539,0.000236286,0.000223251,0.754032258,0.658108108,0.806722689,0.700152207,0.809045226,0.794392523,0.826086957,0.8125,0.875,0.733333333,0.711021505,0.627027027,0.766386555,0.686453577,0.778894472,0.780373832,0.782608696,0.8125,0.833333333,0.666666667,0.000276169,0.000316033,0.000300905,0.000327603,0.000865416,0.00080089,0.003698529,0.003173828,0.005787037,0.014814815,0.756097561,0.727272727,0.779761905,0.792114695,0.814681107,0.877237852,0.87254902,0.891770011,0.877616747,0.901459854,0.707317073,0.698347107,0.704365079,0.743727599,0.770156438,0.831202046,0.832244009,0.866967306,0.811594203,0.857664234,0.001009852,0.000870489,0.000413165,0.000341571,0.000213015,0.000179418,0.000152085,0.000130028,0.00024623,0.000222767,354533,0.24901415,-0.13418299,0.20749831,0.13949651,0.0441604,0.29897046,33416.754,0.47130001,13.061001,0.018178778,0,0,15.93993434,-1.0086955,,0.019744283,7264.3633,0.006684675,0.29463103,0.945886282,0.39405,0.017028034,0.015558495,0.029063905,-1.000887832,0.59608555,0.003278266,0.24610297,0.098687768,0.56131065,0.86491513,-1.1551465,0.74752051,38.563202,41.608906
